"ServerName","PIVisionExtPath"
"pi-vision-hq-qal.ep.corp.local","C:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"pi-vision-hq-ppr.ep.corp.local","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"pi-vision-hq.ep.corp.local","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"AOEPTTA2-APFM02","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"AREPBUE-APAF01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"BNEPLUM-AP04","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"BOEPSRZ-APPI02","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"BREPRIO-APPI05","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"CGEPBIN-APPIV01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"DKEPEBJ-APPIVIS","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"GAEPPOG-APPIV01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"GBEPABZ-APPVI03","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"ITEPCOR-AP05","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"NGEPLOS-APAPP12","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"NGEPPHC-APAPP03","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"NLEPDHG-WPPI04","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"NOEPSVG-APPI03","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WDPIHQ13","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WPPIHQ04","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WPPIHQ24","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WQPIHQ24","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIAO01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIAR01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIBR01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPICG01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIDK01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIGA01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIGB01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIHQ04","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIIT01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPING01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPING02","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPINL01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIQA01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WRPIVI01","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"OPEPPA-WTPIHQ02","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"
"QAEPDOH-WPPI04","D:\Program Files\PIPC\PIVision\Scripts\app\editor\symbols\ext"